Time(milli)	LAT(deg)	LON(deg)	ALT(m)	Phi(deg)	Theta(deg)	Psi(deg)	Vx(m/s)	Vy(m/s)	Vz(m/s)	P(deg/s)	Q(deg/s)	R(deg/s)	Nx(m/s2)	Ny(m/s2)	Nz(m/s2)	Radial(deg)	Distance(m)	DeltaAlt:Anv-Tgt(m)	JX	JY	Throttle
43226	-23.6499516762136	-45.3990396842534	2409.51045800791	121.687297040412	-19.0793556329476	28.7269962183892	207.978664051635	0.173604092643312	35.9216868627366	-0.235375529144301	14.5389845814802	2.07884334966574	5.5755192188823	-0.0134856843584805	-47.656173903059	223.086269913656	3583.69847965061	2403.10965801764	3.0517578125E-5	-0.8818359375	60.2386474609375
43227	-23.6483154978288	-45.3981685613383	2341.29854078698	109.563233423605	-27.4583230140354	44.7480542290782	206.771653337704	0.490831666445039	41.7906444746089	-3.3077300646471	18.1740746468785	0.474619055907755	6.98669335934038	-0.171287285519064	-55.7462642549396	224.081804503976	3391.10951751767	2334.89774079671	0.01580810546875	-0.8818359375	60.2386474609375
43228	-23.6468836935664	-45.3968453679106	2235.52245853814	71.8531179192057	-26.73625701733	46.7433113990328	214.385143450877	5.64927673218323	6.87617341325709	-71.8240195145348	-5.54255629693288	-6.84747639747465	2.67685396634583	-1.75900331308928	-12.339779761805	224.322564975648	3183.24325979198	2229.12165854787	0.42523193359375	3.0517578125E-5	60.2386474609375
43229	-23.6455590507387	-45.395354662767	2119.61438393127	-21.8736868166878	-29.0861583606629	46.1000245781923	222.175859522408	0.248249005434462	-1.00974489193059	-47.9885544755112	-4.09980270272283	1.66305361477077	2.16889620086344	0.311330587850989	-4.07414251003874	224.20156691395	2971.95956364521	2113.213583941	0.17327880859375	3.0517578125E-5	60.2386474609375
43230	-23.644279454606	-45.393920439518	2003.43172112495	-38.2411499422485	-30.9999109138728	46.1925947231028	229.263880910105	-0.170984153289426	-2.46644565447704	-0.752586904186263	0.15189098148773	-1.15919928314904	1.39543037755726	0.0435436008987788	-3.77553245580933	224.075863274702	2768.28808556409	1997.03092113468	3.0517578125E-5	3.0517578125E-5	49.6063232421875
43231	-23.6429430094037	-45.392459028371	1876.82128417096	-29.2372090886659	-31.0414404936124	45.1688770836256	234.939492223016	-2.36284507468096	0.380023774606961	34.2622895267783	0.533603637758402	0.97738739421886	-1.19668615255761	0.615370844611886	-8.17313395564505	223.983244200277	2558.17420077699	1870.42048418068	-0.22833251953125	3.0517578125E-5	14.1754150390625
43232	-23.6414992596497	-45.3909288225295	1740.64458555005	-8.26977111429608	-31.2623774116175	43.4020247054539	238.654951004542	2.17232048950604	0.490423755131789	-3.11935347675037	-0.117423247037634	0.584771219840312	-2.11145121617194	-0.909785600468471	-8.47626382746798	223.951982914642	2334.63844898211	1734.24378555978	-0.02362060546875	3.0517578125E-5	7.8765869140625
43234	-23.6400437723066	-45.3894046479667	1604.66091038638	6.69539515247768	-30.9240916360079	43.7862007326867	241.747860343965	1.28906484833159	0.785553584567469	3.72716067552385	-0.105301089970436	-2.91543648146559	-2.2742757945921	-0.658239232529243	-9.21722324545385	223.950520536336	2110.59804206544	1598.26011039611	3.0517578125E-5	3.0517578125E-5	7.8765869140625
43235	-23.6385704165512	-45.3878544427491	1467.76737290479	-3.65655046284132	-30.9016400247171	44.3837027865243	244.618323843273	-1.10088572912821	0.280248740435277	-0.752200380428551	0.112303295796949	0.219227856464271	-2.69111715169213	0.501379573524058	-8.91508477227475	223.932215566164	1883.29267204854	1461.36657291452	3.0517578125E-5	3.0517578125E-5	2.7587890625
43236	-23.6370577784727	-45.3862674127198	1328.34223617547	-3.50247129971405	-30.6715886297941	43.9315227633348	246.825506732063	-0.0409225207616563	0.444457852233718	-0.761953213062609	0.253911987973689	0.547411685848482	-3.15140360844937	0.0383474094778174	-9.48462158202283	223.919542694267	1650.25014854128	1321.9414361852	3.0517578125E-5	3.0517578125E-5	0.00152587890625
43237	-23.6355422857857	-45.3846865146425	1190.4629936745	-3.11142139546592	-30.4005713925442	43.6968866476767	248.752834195292	0.291577790164472	0.383169385631929	-0.623684421735292	0.273121134653806	0.0473129780775095	-3.25583399432818	-0.130889939519366	-9.6756999652407	223.929630503469	1417.41804150752	1184.06219368423	3.0517578125E-5	3.0517578125E-5	0.00152587890625
43238	-23.6340107731836	-45.3830977682542	1053.19736323482	-3.01835403050404	-30.0833816060338	43.5944104727414	250.518564709458	0.118041570950415	0.330802880190311	-0.0236956265700893	0.316042804713749	-0.228837025522817	-3.35413591398929	-0.0626837595878071	-9.87867205638827	223.975213284291	1182.75665761326	1046.79656324455	3.0517578125E-5	3.0517578125E-5	0.00152587890625
43239	-23.6324609341285	-45.3814985953958	916.56957424216	-2.98504389428109	-29.3706187011518	43.4620231291867	252.085875868986	-0.0365458860717732	1.76288427704528	0.179590349946131	5.19673468228624	-0.201322658500187	-3.63246715384009	0.0107357414415407	-12.5316429893893	224.082275133102	945.901675312537	910.168774251889	3.0517578125E-5	-0.40155029296875	0.00152587890625
43240	-23.6308224734591	-45.379822262036	791.754423345083	0.663582695614929	-14.4620561568344	43.2579109113637	248.964396354405	0.167693005974756	29.9046099492949	4.17240396974391	11.3248473839871	0.649081473198806	-0.320604028246424	-0.0637848916401939	-58.3777599812141	224.360220970841	696.532531210307	785.353623354812	-0.02362060546875	-0.48028564453125	0.00152587890625
43241	-23.6291144828762	-45.3780666130196	719.052167841009	2.52649729719709	-3.97698912057541	43.9749213543513	244.815292919643	0.099692493886758	26.4332927545822	-0.036854129922546	9.66024411349355	0.0540179187231135	-0.855380348472469	-0.0466153478897916	-51.6227638128409	224.90972953076	436.034812352307	712.651367850738	3.0517578125E-5	-0.48028564453125	0.00152587890625
43242	-23.6273991356973	-45.3762681634747	696.663826729372	2.51636023233054	7.34036111547217	44.5850544824302	238.445997342692	0.0412516810971929	28.1424377800097	-0.0296776322739976	10.7562521988733	0.0748008190850169	-0.379953274325074	-0.0172790059172264	-53.0730733508347	226.295012891229	171.960707160337	690.263026739101	3.0517578125E-5	-0.52752685546875	0.00152587890625
43243	-23.6257332753854	-45.3744852339976	724.899753602584	2.63975620902832	18.9009241772634	45.2345205430757	229.991179690598	0.0200742086775244	28.393965993731	-0.00856588620555734	10.3428359119351	0.0930038727268798	-0.125604324218161	-0.00634608116837179	-50.9824532824476	41.2610372384564	87.3921784726336	718.498953612314	3.0517578125E-5	-0.5511474609375	0.00152587890625
43244	-23.6243315895971	-45.3729533108285	791.902139042781	2.88048386009727	28.7504502973335	45.8717266601179	223.271900242326	0.0101226359435062	26.749397174114	0.00393323495021065	8.65848572866246	0.10257636545577	4.84121683272143	-0.0014129214251612	-46.2345245711531	44.0815065558671	307.569597324365	785.50133905251	3.0517578125E-5	-0.50390625	68.1121826171875
43246	-23.6229654465691	-45.3714264840937	902.274364982292	3.2652043826124	37.8683731431477	46.6007461093731	222.264074574433	0.00911055744975271	23.6050037606454	-0.00637689716419394	7.79101149037282	0.109531671716837	10.1055942517582	-0.000801470262235866	-41.0041869612973	44.8097370654407	524.710622171571	895.873564992021	3.0517578125E-5	-0.44879150390625	95.6695556640625
43247	-23.6217471929345	-45.3700294241296	1047.02224966539	6.53747524893055	46.0994549998165	47.6804564729772	223.555541962636	0.375797156926838	20.53363655243	28.3450053496095	4.74668471364912	1.80439437726257	10.6314273653729	-0.337698134180089	-36.1858193849859	45.2913905386251	720.954197507539	1040.62144967512	-0.3779296875	-0.19683837890625	100
43248	-23.6207360716019	-45.3687626926321	1208.55375084238	87.6253723739608	43.1502976232866	55.9517961067983	225.893067562313	-4.46759204351751	9.67351597301543	89.7650530511318	2.04891497440637	5.31731575433531	9.68272919558419	1.55044317751404	-20.90478497344	46.0213798384822	891.701771442828	1202.15295085211	-0.4251708984375	-0.0472412109375	100
